station,base_count,base_mean,base_std,base_median,delta_seconds,network,latitude,longitude,elevation,x_m,y_m
CAAM,24718,0.383643915501022,2.966492630660957,0.0,0.383643915501022,IV,40.820065,14.142049,170.0,427648.7392961914,4519136.99615822
CAWE,15228,0.211930601356347,2.8375622366391684,0.0,0.211930601356347,IV,40.840439,14.139376,276.0,427445.5352074209,4521400.884259712
CBAC,55683,0.0555236561318965,3.039426410155558,0.0,0.0555236561318965,IV,40.810901,14.08057,77.0,422453.46272531507,4518172.289712829
CBAG,41921,-0.1475544770065773,3.0577234652193006,0.0,-0.1475544770065773,IV,40.8115,14.1747,5.0,430393.2841766384,4518159.774602672
CCAP,25748,0.1839120064219536,3.1280191307032603,0.0,0.1839120064219536,IV,40.8064,14.192267,209.0,431869.70271436137,4517579.835831838
CFMN,17466,0.2000635481093684,3.009887599901472,0.0,0.2000635481093684,IV,40.832942,14.090403,92.0,423308.2018611994,4520610.367233401
CMIS,56477,0.0333870829406548,3.0719723887399577,0.0,0.0333870829406548,IV,40.778154,14.089047,134.0,423130.67444870254,4514529.659208489
CMSN,9492,0.2439143220382655,2.9918678856291567,0.0,0.2439143220382655,IV,40.8382,14.1818,20.0,431019.78418436577,4521118.068494675
CMTS,13482,0.5245160471878425,3.13215250781956,0.2699999809265136,0.5245160471878425,IV,40.8314,14.1972,40.0,432311.2125774564,4520351.203831031
CNIS,43033,0.1905633662537201,3.0771619396947574,0.0,0.1905633662537201,IV,40.79817,14.163176,50.0,429407.20302792813,4516689.259743857
COLB,30519,0.2382329026822857,2.953518272842985,0.0,0.2382329026822857,IV,40.819016,14.144606,56.0,427863.2377269367,4519018.441228274
CPIS,4020,0.3992935305804162,2.777511932128822,0.0,0.3992935305804162,IV,40.829224,14.146981,117.0,428074.55730866,4520149.657851963
CPOZ,51701,-0.0078288603630456,3.03571194329287,0.0,-0.0078288603630456,IV,40.821072,14.11911,52.0,425715.38801527506,4519267.971076586
CQUE,6535,0.2378714610714901,3.0811093032611896,0.0,0.2378714610714901,IV,40.885355,14.155414,109.0,428845.7151251587,4526373.787898006
CSFT,10168,0.3351047272338912,2.734065382795213,0.0,0.3351047272338912,IV,40.829168,14.139635,151.0,427455.0843679493,4520149.497090779
CSOB,6673,0.4662461134334492,2.491557458409724,0.0,0.4662461134334492,IV,40.826469,14.143963,223.0,427817.0931741657,4519846.312458003
CSTH,11392,0.1525408306441615,2.7155917668495118,0.0,0.1525408306441615,IV,40.829447,14.149329,108.0,428272.7800469139,4520172.488009125
CUMA,18800,0.3710649095824424,3.0136511527345458,0.0400002002716064,0.3710649095824424,IV,40.847947,14.053389,81.0,420205.35922810214,4522309.108897176
IPSM,18915,0.0132799358428422,3.117527329625108,0.0,0.0132799358428422,IV,40.746222,13.943825,154.0,410833.4854788223,4511122.371541616
PTMR,26910,0.3460886391774733,3.0381239270549587,0.0299999713897705,0.3460886391774733,IV,40.761401,14.034938,134.0,418544.2525140092,4512718.778954092
